region,year,period,export_value,period_key,period_en,region_en
总值,2025,11月,234563445.0,nov,Nov,Total
总值,2025,1至11月,2445787769.0,jan_nov,Jan–Nov,Total
总值,2024,11月,222171762.0,nov,Nov,Total
总值,2024,1至11月,2303831624.0,jan_nov,Jan–Nov,Total
美国,2025,11月,23988067.0,nov,Nov,United States
美国,2025,1至11月,276472620.0,jan_nov,Jan–Nov,United States
美国,2024,11月,33647438.0,nov,Nov,United States
美国,2024,1至11月,338193966.0,jan_nov,Jan–Nov,United States
东南亚国家联盟,2025,11月,41239060.0,nov,Nov,ASEAN
东南亚国家联盟,2025,1至11月,429051660.0,jan_nov,Jan–Nov,ASEAN
东南亚国家联盟,2024,11月,38200273.0,nov,Nov,ASEAN
东南亚国家联盟,2024,1至11月,374374355.0,jan_nov,Jan–Nov,ASEAN
欧洲联盟,2025,11月,33493936.0,nov,Nov,European Union
欧洲联盟,2025,1至11月,363924493.0,jan_nov,Jan–Nov,European Union
欧洲联盟,2024,11月,29205206.0,nov,Nov,European Union
欧洲联盟,2024,1至11月,333885869.0,jan_nov,Jan–Nov,European Union
亚太经济合作组织,2025,11月,134319814.0,nov,Nov,APEC
亚太经济合作组织,2025,1至11月,1388409233.0,jan_nov,Jan–Nov,APEC
亚太经济合作组织,2024,11月,134447299.0,nov,Nov,APEC
亚太经济合作组织,2024,1至11月,1361602584.0,jan_nov,Jan–Nov,APEC
区域全面经济伙伴关系协定（RCEP）成员国,2025,11月,67242339.0,nov,Nov,RCEP members
区域全面经济伙伴关系协定（RCEP）成员国,2025,1至11月,681042305.0,jan_nov,Jan–Nov,RCEP members
共建“一带一路”国家和地区,2025,11月,120188427.0,nov,Nov,Belt and Road countries & regions
共建“一带一路”国家和地区,2025,1至11月,1234496571.0,jan_nov,Jan–Nov,Belt and Road countries & regions
