lag_months,corr
-18,-0.027087022211668563
-17,-0.08512073248745286
-16,-0.09383530175183859
-15,-0.10014999474351056
-14,-0.0014281393854381405
-13,-0.011169921850893797
-12,-0.034322136538852965
-11,0.09499909025310828
-10,-0.0038067654612051866
-9,-0.16025640976651562
-8,-0.06341282000877724
-7,-0.0472703839938987
-6,-0.11918786587172216
-5,-0.11712244002147924
-4,-0.09950859827070219
-3,-0.06268262252462625
-2,-0.15832267811502268
-1,-0.18284605957669625
0,-0.04290456097232161
1,0.017124763815383384
2,-0.14608085352331582
3,-0.07207689221067522
4,-0.02075633572102398
5,-0.10551501102496004
6,-0.04634319386882096
7,-0.042876590727186505
8,-0.039226030407485006
9,-0.02246291268138124
10,-0.05264663998240829
11,0.04814011519138146
12,0.025677964487647493
13,-0.11458469925256481
14,-0.05753989889599429
15,-0.056552139583842476
16,-0.1381207856183171
17,-0.14472195501478072
18,-0.1425334415145104
