date,new_comp,old_comp,paradigm_index
2015-02-01,,,
2015-03-01,,,
2015-04-01,,,
2015-05-01,,,
2015-06-01,,,
2015-07-01,,,
2015-08-01,,,
2015-09-01,,,
2015-10-01,,,
2015-11-01,,,
2015-12-01,,,
2016-02-01,,,
2016-03-01,,,
2016-04-01,,,
2016-05-01,,,
2016-06-01,,,
2016-07-01,,,
2016-08-01,,,
2016-09-01,,,
2016-10-01,,,
2016-11-01,,,
2016-12-01,,,
2017-02-01,,,
2017-03-01,,,
2017-04-01,,,
2017-05-01,,,
2017-06-01,,,
2017-07-01,,,
2017-08-01,,,
2017-09-01,,,
2017-10-01,,,
2017-11-01,,,
2017-12-01,,,
2018-02-01,,,
2018-03-01,,,
2018-04-01,,,
2018-05-01,,,
2018-06-01,,,
2018-07-01,,,
2018-08-01,,,
2018-09-01,,,
2018-10-01,,,
2018-11-01,,,
2018-12-01,,,
2019-02-01,,,
2019-03-01,,,
2019-04-01,,,
2019-05-01,,,
2019-06-01,,,
2019-07-01,,,
2019-08-01,,,
2019-09-01,,,
2019-10-01,,,
2019-11-01,,,
2019-12-01,,,
2020-02-01,,,
2020-03-01,,,
2020-04-01,,,
2020-05-01,,,
2020-06-01,,,
2020-07-01,,,
2020-08-01,,,
2020-09-01,,,
2020-10-01,,,
2020-11-01,,,
2020-12-01,,,
2021-02-01,,,
2021-03-01,,,
2021-04-01,,,
2021-05-01,,,
2021-06-01,,,
2021-07-01,,,
2021-08-01,,,
2021-09-01,,,
2021-10-01,,,
2021-11-01,,,
2021-12-01,,,
2022-02-01,,,
2022-03-01,,,
2022-04-01,,,
2022-05-01,,,
2022-06-01,,,
2022-07-01,,,
2022-08-01,,,
2022-09-01,,,
2022-10-01,,,
2022-11-01,,,
2022-12-01,,,
2023-02-01,,,
2023-03-01,1.8522045267585683,0.24542281388356776,1.6067817128750006
2023-04-01,1.7953356980183939,-0.04996227847973537,1.8452979764981292
2023-05-01,1.2735972575998342,-0.10465071843728731,1.3782479760371216
2023-06-01,1.1499406183624863,-0.025656305165260268,1.1755969235277466
2023-07-01,1.2015193234989212,-0.26095163016780254,1.4624709536667237
2023-08-01,1.1512631492634189,-0.13267010434145554,1.2839332536048744
2023-09-01,1.2134221016073239,0.07325550290610987,1.140166598701214
2023-10-01,1.096378116874639,0.2305691635247256,0.8658089533499134
2023-11-01,0.9852855211961554,0.12017953472152176,0.8651059864746337
2023-12-01,0.9171751797980315,0.25690063461540125,0.6602745451826303
2024-02-01,1.2676458685455527,-0.6734780105883948,1.9411238791339476
2024-03-01,0.8741929255175738,-0.38221143037004335,1.256404355887617
2024-04-01,0.6136543380335158,-0.554648807717681,1.1683031457511968
2024-05-01,0.7386335081717876,-0.6954209031639617,1.4340544113357492
2024-06-01,0.6258877488671227,-0.6441082928334182,1.269996041700541
2024-07-01,0.48338504429145124,-0.6824577173962503,1.1658427616877014
2024-08-01,0.39345294302791645,-0.7193892935157287,1.1128422365436452
2024-09-01,0.22681404951020012,-0.7828548905034984,1.0096689400136984
2024-10-01,0.19837963514010845,-0.7862307201305068,0.9846103552706152
2024-11-01,0.11109259567844793,-0.6927202394623457,0.8038128351407936
2024-12-01,0.027111883469123438,-0.6778665891035036,0.704978472572627
2025-02-01,-0.39808180118124753,0.7063923494517109,-1.1044741506329585
2025-03-01,-0.25723226023174856,0.4344692729961135,-0.691701533227862
2025-04-01,-0.4291612773531954,0.3899083219195876,-0.819069599272783
2025-05-01,-0.6903611302877064,0.3092259938340675,-0.999587124121774
2025-06-01,-0.9337068160595955,-0.012490569619911185,-0.9212162464396842
2025-07-01,-1.2332600651211971,-0.2579133835034791,-0.9753466816177181
2025-08-01,-1.49512118350617,-0.7693515719953735,-0.7257696115107964
2025-09-01,-1.7430957274313366,-1.1477820731831045,-0.595313654248232
2025-10-01,-1.7510309128369412,-1.4651100581219745,-0.28592085471496675
2025-11-01,-1.8330278286948625,-1.8405023126454048,0.007474483950542288
2025-12-01,,,
