metric_key,month,cum_value,monthly_value,is_single_month
inventory,2,79891,79891.0,True
inventory,3,78664,-1227.0,True
inventory,4,78142,-522.0,True
inventory,5,77427,-715.0,True
inventory,6,76948,-479.0,True
inventory,7,76486,-462.0,True
inventory,8,76169,-317.0,True
inventory,9,75928,-241.0,True
inventory,10,75606,-322.0,True
inventory,11,75306,-300.0,True
inventory,12,76632,1326.0,True
investment,2,10720,10720.0,True
investment,3,19904,9184.0,True
investment,4,27730,7826.0,True
investment,5,36234,8504.0,True
investment,6,46658,10424.0,True
investment,7,53580,6922.0,True
investment,8,60309,6729.0,True
investment,9,67706,7397.0,True
investment,10,73563,5857.0,True
investment,11,78591,5028.0,True
investment,12,82788,4197.0,True
sales_area,2,10746,10746.0,True
sales_area,3,21869,11123.0,True
sales_area,4,28262,6393.0,True
sales_area,5,35315,7053.0,True
sales_area,6,45851,10536.0,True
sales_area,7,51560,5709.0,True
sales_area,8,57304,5744.0,True
sales_area,9,65835,8531.0,True
sales_area,10,71982,6147.0,True
sales_area,11,78702,6720.0,True
sales_area,12,88101,9399.0,True
sales_value,2,10259,10259.0,True
sales_value,3,20798,10539.0,True
sales_value,4,27035,6237.0,True
sales_value,5,34091,7056.0,True
sales_value,6,44241,10150.0,True
sales_value,7,49566,5325.0,True
sales_value,8,55015,5449.0,True
sales_value,9,63040,8025.0,True
sales_value,10,69017,5977.0,True
sales_value,11,75130,6113.0,True
sales_value,12,83937,8807.0,True
